SearchEngine	Keyword	Title	Text	MediaName	MediaTypeName	MediaRegionName	Url	PubDate	Forward	Reply	View	AuthorName	Source	AuthorCertificated	Sex	Region	Descript	Caption	Company	Education	Fans	Follows	Comments	Product	ItemID
新浪微博搜索	@奥迪 4S 投诉	经过万哥的努力,全部大众奥迪等1.8T的EA888终于得到央视的曝光,推荐想换车的大众车主不厌其烦的打电话投诉抱怨,争取在年底前获得全额退款换辆新的。美系还不曝光4S黑心内幕?		新浪微博	Weibo	Unknown	http://weibo.com/1816639557/C97AB7q0k	2015-3-18 13:46:00	0	0	0	C-kuan	华为Ascend P7	NoneCertificated							0	0	0		65ac6b0d8b0cf3f9c0d56570d3b2900d
新浪微博搜索	@奥迪 4S 投诉	#315曝光台#我2012年4月买的2.4排量奥迪A6L车,2013年就出现变速箱故障,经与4S店交涉,更换了阀体,现又出现相同的故障,换阀体得自掏近2万元,还说变速箱出故障是奥迪车的通病,买的车不到三年变速箱就出了两次故障,以后还不知道要出多少次相同故障,真是闹心!特投诉电话:15377076677		新浪微博	Weibo	Unknown	http://weibo.com/5386134753/C8Drpdx2f	2015-3-15 9:01:00	0	0	0	用户5386134753	UC浏览器Android版	NoneCertificated							0	0	0		407c3b5231b85bfcd9d6f8f22d75a891
新浪微博搜索	@奥迪 4S 投诉	盘锦盛迪奥迪4s店.在没和客户协商下.强制消费.欺骗消费者.并且服务人员态度恶劣.@一汽奥迪客户投诉中心 @奥迪@315在线投诉		新浪微博	Weibo	Unknown	http://weibo.com/2425073093/C8xexmLgK	2015-3-14 17:13:00	-1	19	-1	苏莹莹.	iPhone 6	NoneCertificated							0	0	0		65c0160768e80f145c95484bb540e1ac
新浪微博搜索	@奥迪 4S 投诉	消费者向12345市长热线投诉柯桥宝利德奥迪4S店欺诈消费者!http://t.cn/Rwmemmu浙江在线绍兴 @绍兴E网 @绍兴发布		新浪微博	Weibo	Unknown	http://weibo.com/3560430704/C7qkni2qv	2015-3-7 9:48:00	0	0	0	三百六十度传媒	专业版微博	Organization							0	0	0		96ef3f897c073a4f670b6b018d873b87
新浪微博搜索	@奥迪 4S 投诉	济宁广华奥迪4S店,欺骗消费者!投诉你们.		新浪微博	Weibo	Unknown	http://weibo.com/1301347940/C6xctw5Fu	2015-3-1 13:27:00	0	0	0	路灯下等你来	iPhone 6	NoneCertificated							0	0	0		91efcb9b77b157c1060900bf4618c428
新浪微博搜索	@奥迪 4S 投诉	奥迪A4L2015款,EA8883代发动机严重有问题,会异响,每天早上冷车启动的时候都有母鸡下蛋的“咕咕咕咕咕咕”的声音。4S不管,厂家也不管,投诉无门。目前已经有400多人组件了QQ群,希望315为消费者做主。我分享了@CCTV315 的文章 http://t.cn/RZC8GXu		新浪微博	Weibo	Unknown	http://weibo.com/1772816600/C07nt5RS0	2015-1-18 8:41:00	0	0	0	天天笑话排行榜	微博 weibo.com	NoneCertificated							0	0	0		57bc0c7307ddb1bf58dab5433615c869
新浪微博搜索	@奥迪 4S 投诉	半年奥迪车电瓶跑电,这次又在4S店修了10天,说厂家不给赔。理由是跑的里程少。准备启动投诉程序。请告诉我投诉网址,电话,等。		新浪微博	Weibo	Unknown	http://weibo.com/2576871872/BFVZ49p9l	2015-1-17 10:09:00	4	3	-1	模糊思考	iPhone客户端	NoneCertificated							0	0	0		eeef7a44dc0e236d402158739e387f88
新浪微博搜索	@奥迪 4S 投诉	我在2014年1月在陕西省咸阳市恒丰一汽大众4S店购买大众CC1.8T 2014款,离合器打滑,车走不动,投诉无果(多次投诉,已两个月)@奥迪 @华商报		新浪微博	Weibo	Unknown	http://weibo.com/5198404049/BF3oEeie8	2015-1-11 15:11:00	0	0	0	迷糊洋洋9	iPhone 5s	NoneCertificated							0	0	0		ba7c700aee39290ef651bd877adc5fa9
新浪微博搜索	@奥迪 4S 投诉	今天去大众4s丰台天达店,调一下日间行车灯菜单控制功能,4s推皮球就是不给调,跟我同一批15款迈腾豪华都有这功能为什么我没有?投诉400后等待1个小时完全没人理会!大众你这也叫服务吗?狗屁服务让大家一起来喷死大众!请大V帮忙往死里转发,我不怕事情闹大@大众中国 @奥迪 @长安福特 @一汽大众资讯		新浪微博	Weibo	Unknown	http://weibo.com/1414238305/BzLqw048A	2014-12-7 20:15:00	2	-1	-1	军军-同学	微博 weibo.com	NoneCertificated							0	0	0		4e3865ebc7958e31c8236f83046f743b
新浪微博搜索	@奥迪 4S 投诉	我的奥迪Q5车内阻尼异味严重,气味刺鼻刺眼,开车半个小时以上头晕胸痛,投诉到媒体厂家4s店还是没有处理态度!使得消费者失去对奥迪品牌的信心。 紧贴钢板的沥青阻尼片因受热极易分解释放有毒的多环芳烃气体,而且这是一个长期缓慢的释放过程。 |云裳直街		新浪微博	Weibo	Unknown	http://weibo.com/2625697994/BybmV2mTh	2014-11-27 10:37:00	3	1	-1	林浚楠	三星Galaxy NOTE III	NoneCertificated							0	0	0		d640f13223e0329d1aabeedaf9ea5ba2
